text,command
помощь,help
помоги,help
помогите,help
помочь,help
помогать,help
помогай,help
помогайте,help
поможешь,help
помог бы,help
помогла бы,help
помогли бы,help
надо помочь,help
нужно помочь,help
пора помочь,help
можно помочь,help
давай помоги,help
список команд,help
команды,help
справка,help
покажи команды,help
покажи список команд,help
покажи справку,help
тишина,silence
молчи,silence
молчите,silence
молчать,silence
помолчи,silence
помолчите,silence
помолчать,silence
замолчи,silence
замолчите,silence
замолчать,silence
замолкай,silence
замолкайте,silence
замолкать,silence
умолкни,silence
умолкните,silence
умолкнуть,silence
перестань говорить,silence
перестаньте говорить,silence
перестать говорить,silence
хватит говорить,silence
хватит болтать,silence
перестань болтать,silence
перестаньте болтать,silence
надо молчать,silence
нужно молчать,silence
пора молчать,silence
давай помолчи,silence
привяжи робота,bind
привяжи панду,bind
привяжи робота 1,bind
привяжи панду 1,bind
привяжи робота 2,bind
привяжи панду 2,bind
привяжи робота 3,bind
привяжи панду 3,bind
привяжите робота,bind
привяжите панду,bind
привяжите робота 1,bind
привяжите панду 1,bind
привяжите робота 2,bind
привяжите панду 2,bind
привяжите робота 3,bind
привяжите панду 3,bind
привязать робота,bind
привязать панду,bind
привязать робота 1,bind
привязать панду 1,bind
привязать робота 2,bind
привязать панду 2,bind
привязать робота 3,bind
привязать панду 3,bind
привязывать робота,bind
привязывать панду,bind
привязывай робота,bind
привязывай панду,bind
привязывайте робота,bind
привязывайте панду,bind
привяжешь робота,bind
привяжешь панду,bind
привязал бы робота,bind
привязала бы панду,bind
привязали бы робота,bind
надо привязать робота,bind
нужно привязать робота,bind
пора привязать робота,bind
надо привязать панду,bind
нужно привязать панду,bind
пора привязать панду,bind
давай привяжи робота,bind
давай привяжи панду,bind
попроси робота привязать робота,bind
попроси панду привязать панду,bind
скажи роботу привязать робота,bind
скажи панде привязать панду,bind
пусть робот привяжет робота,bind
пусть панда привяжет панду,bind
робот привяжи робота,bind
панда привяжи панду,bind
привяжи робота робот,bind
привяжи панду панда,bind
пожалуйста привяжи робота,bind
пожалуйста привяжи панду,bind
отвяжи робота,unbind
отвяжи панду,unbind
отвяжите робота,unbind
отвяжите панду,unbind
отвязать робота,unbind
отвязать панду,unbind
отвязывать робота,unbind
отвязывать панду,unbind
отвязывай робота,unbind
отвязывай панду,unbind
отвязывайте робота,unbind
отвязывайте панду,unbind
отвяжешь робота,unbind
отвяжешь панду,unbind
отвязал бы робота,unbind
отвязала бы панду,unbind
отвязали бы робота,unbind
надо отвязать робота,unbind
нужно отвязать робота,unbind
пора отвязать робота,unbind
надо отвязать панду,unbind
нужно отвязать панду,unbind
пора отвязать панду,unbind
давай отвяжи робота,unbind
давай отвяжи панду,unbind
попроси робота отвязать робота,unbind
попроси панду отвязать панду,unbind
скажи роботу отвязать робота,unbind
скажи панде отвязать панду,unbind
пусть робот отвяжет робота,unbind
пусть панда отвяжет панду,unbind
робот отвяжи робота,unbind
панда отвяжи панду,unbind
отвяжи робота робот,unbind
отвяжи панду панда,unbind
пожалуйста отвяжи робота,unbind
пожалуйста отвяжи панду,unbind
исправить команду,report_command
исправь команду,report_command
исправьте команду,report_command
исправлять команду,report_command
исправляй команду,report_command
исправляйте команду,report_command
исправишь команду,report_command
исправил бы команду,report_command
исправила бы команду,report_command
исправили бы команду,report_command
надо исправить команду,report_command
нужно исправить команду,report_command
пора исправить команду,report_command
можно исправить команду,report_command
давай исправь команду,report_command
поправить команду,report_command
поправь команду,report_command
поправьте команду,report_command
поправлять команду,report_command
поправляй команду,report_command
поправляйте команду,report_command
поправишь команду,report_command
поправил бы команду,report_command
надо поправить команду,report_command
нужно поправить команду,report_command
давай поправь команду,report_command
пожаловаться на команду,report_command
пожаловаться на неправильную команду,report_command
пожалуюсь на команду,report_command
пожаловался бы на команду,report_command
сообщить об ошибке в команде,report_command
сообщи об ошибке в команде,report_command
сообщите об ошибке в команде,report_command
сообщить об ошибке команды,report_command
сообщи об ошибке команды,report_command
ошибка в команде,report_command
неправильная команда,report_command
команда неправильная,report_command
команда работает неправильно,report_command
команда не та,report_command
не та команда,report_command
изменить команду,report_command
измени команду,report_command
измените команду,report_command
изменять команду,report_command
надо изменить команду,report_command
нужно изменить команду,report_command
давай измени команду,report_command
пожалуйста исправь команду,report_command
пожалуйста поправь команду,report_command
