text,command
лапу,give_paw
дай лапу,give_paw
покажи лапу,give_paw
подними лапу,give_paw
лапу дай,give_paw
робот лапу,give_paw
дай лапу сейчас,give_paw
покажи лапу мне,give_paw
подними лапу вверх,give_paw
панда лапу,give_paw
панда дай лапу,give_paw
робот покажи лапу,give_paw
дай лапу панда,give_paw
лапу робот,give_paw
пожалуйста дай лапу,give_paw
дай лапу пожалуйста,give_paw
давай лапу,give_paw
ну-ка лапу,give_paw
а ну лапу дай,give_paw
эй лапу,give_paw
лапу покажи,give_paw
ты дай лапу,give_paw
ты лапу подними,give_paw
быстро лапу,give_paw
панда давай лапу,give_paw
робот пожалуйста лапу,give_paw
дай лапу быстро,give_paw
ну лапу дай,give_paw
равняйсь,stand_at_attention
равняйся,stand_at_attention
стань в стойку,stand_at_attention
стойка смирно,stand_at_attention
встань в стойку,stand_at_attention
равняйсь робот,stand_at_attention
равняйся сейчас,stand_at_attention
стань в стойку смирно,stand_at_attention
стойка смирно робот,stand_at_attention
панда равняйся,stand_at_attention
панда стойка,stand_at_attention
робот равняйсь,stand_at_attention
стойка панда,stand_at_attention
встань смирно,stand_at_attention
пожалуйста равняйся,stand_at_attention
равняйся пожалуйста,stand_at_attention
давай равняйся,stand_at_attention
ну-ка стойка,stand_at_attention
а ну равняйсь,stand_at_attention
эй стойка,stand_at_attention
ты равняйся,stand_at_attention
смирно стой,stand_at_attention
быстро в стойку,stand_at_attention
панда давай равняйся,stand_at_attention
робот пожалуйста стойка,stand_at_attention
равняйся быстро,stand_at_attention
ну равняйся,stand_at_attention
стань ровно,stand_at_attention
отставить,dismiss
вставай,dismiss
отбой,dismiss
прекратить,dismiss
остановись,dismiss
стоп,dismiss
хватит,dismiss
закончи,dismiss
отставить все,dismiss
робот отставить,dismiss
вставай робот,dismiss
отставить выполнение,dismiss
прекрати выполнение,dismiss
остановись сейчас,dismiss
панда отставить,dismiss
панда стоп,dismiss
робот хватит,dismiss
отбой панда,dismiss
стоп робот,dismiss
пожалуйста остановись,dismiss
хватит пожалуйста,dismiss
давай отставить,dismiss
ну-ка стоп,dismiss
а ну хватит,dismiss
эй остановись,dismiss
ты остановись,dismiss
прекрати сейчас,dismiss
быстро стоп,dismiss
панда давай отставить,dismiss
робот пожалуйста остановись,dismiss
закончи уже,dismiss
ну хватит,dismiss
стоять,dismiss
лежать,lie_down
ложись,lie_down
принять положение лежа,lie_down
ляг,lie_down
упади,lie_down
